Резюме,Ключ задачи,Идентификатор задачи,Тип задачи,Статус,Ключ проекта,Название проекта,Тип проекта,Руководитель проекта,Идентификатор руководителя проекта,Описание проекта,Приоритет,Решение,Исполнитель,Идентификатор исполнителя,Автор,Идентификатор автора,Создатель,Идентификатор создателя,Создано,Обновлено,Последний просмотр,Решено,Срок исполнения,Голоса,Описание,Среда,Исходная оценка,Оценка остатка,Затраченное время,КПД (полезная работа/затраченная работа),Суммарная первоначальная оценка,Суммарная оценка остатка,Суммарное затраченое время,Уровень безопасности,Пользовательское поле (Actual end),Пользовательское поле (Actual start),Пользовательское поле (Change reason),Пользовательское поле (Change risk),Пользовательское поле (Change type),Пользовательское поле (Design),Пользовательское поле (Epic Color),Пользовательское поле (Epic Name),Пользовательское поле (Epic Status),Пользовательское поле (Impact),Пользовательское поле (Issue color),Пользовательское поле (Project overview key),Пользовательское поле (Project overview status),Пользовательское поле (Rank),Пользовательское поле (Request Type),Пользовательское поле (Start date),Пользовательское поле (Story Points),Пользовательское поле (Story point estimate),Пользовательское поле (Target end),Пользовательское поле (Target start),Пользовательское поле (Team),Пользовательское поле (Vulnerability),Пользовательское поле ([CHART] Date of First Response),Пользовательское поле ([CHART] Time in Status),Пользовательское поле (development),Пользовательское поле (Заблокированные формы),Пользовательское поле (Открытые формы),Пользовательское поле (Отправленные формы),Пользовательское поле (Совокупные формы),Дата изменения категории статуса,Категория статуса
"На главной странице пользователя кнопки ""Новинка"" и ""Популярное"" не соответствуют друг другу",HW8-11,10041,Баг,К выполнению,HW8,Домашние задание 8,software,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,,High,,,,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,23/окт/23 8:33 PM,19/ноя/23 4:48 PM,01/июн/24 5:59 PM,,,0,"# Зайти на сайт [https://books-library-2.herokuapp.com/admin|https://books-library-2.herokuapp.com/admin|smart-link] 
# Нажать на кнопку “Добавить книгу“
# Заполнить поле “Название книги“
# Выбрать Жанр и Автора
# Выбрать чекбокс “Новинка“
# Перейти на главную страницу пользователя [https://books-library-2.herokuapp.com/|https://books-library-2.herokuapp.com/|smart-link] 
# Выбрать Жанр, Автора, Новинка

ОР: В списках книг появиться добавленная книга
ФР: Книга отсутствует, находиться во вкладке Популярное

Серьезность: S2","Win11, Yandex 23.9.2.888 (64-bit)",,,,,,,,,,,,,,,,,,,,,,0|i00093:,,,,,,,,,,,,,,,,19/ноя/23 4:48 PM,К выполнению
На главной странице пользователя отсутствует кнопка Найти,HW8-10,10040,Баг,К выполнению,HW8,Домашние задание 8,software,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,,Medium,,,,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,23/окт/23 8:18 PM,19/ноя/23 4:34 PM,03/апр/24 7:36 PM,,,0,"# Зайти на сайт [https://books-library-2.herokuapp.com/|https://books-library-2.herokuapp.com/|smart-link] 
# Вбить в поисковик, например, Алиса
# Нажать кнопку “Найти“

ОР: Кнопка “Найти“ активна
ФР: Кнопка отсутствует

Серьезность: S4 ","Win11, Yandex 23.9.2.888 (64-bit)",,,,,,,,,,,,,,,,,,,,,,0|i0008v:,,,,,,,,,,,,,,,,23/окт/23 8:18 PM,К выполнению
В системе администратора на странице Добавить книгу не загружается файл,HW8-9,10039,Баг,К выполнению,HW8,Домашние задание 8,software,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,,High,,,,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,23/окт/23 8:12 PM,23/окт/23 8:12 PM,01/июн/24 5:59 PM,,,0,"# Зайти на сайт [https://books-library-2.herokuapp.com/admin|https://books-library-2.herokuapp.com/admin|smart-link] 
# Нажать кнопку “Добавить книгу“
# Нажать кнопку “Choose a file…“

ОР: Открывается папка ПК
ФР: Ничего не происходит

Серьезность: S2","Win11, Yandex 23.9.2.888 (64-bit)",,,,,,,,,,,,,,,,,,,,,,0|i0008n:,,,,,,,,,,,,,,,,23/окт/23 8:12 PM,К выполнению
Отсутствует выпадающий список рекомендаций при поиске книг на главной странице пользователя,HW8-8,10038,Баг,К выполнению,HW8,Домашние задание 8,software,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,,Medium,,,,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,23/окт/23 6:15 PM,23/окт/23 6:15 PM,01/июн/24 5:59 PM,,,0,"# Зайти на сайт [https://books-library-2.herokuapp.com/|https://books-library-2.herokuapp.com/|smart-link] 
# Вбить в поиске, например, Алиса

ОР: Появляется список рекомендаций и подсказок
ФР: Списка нет

Серьезность: S4","Win11, Yandex 23.9.2.888 (64-bit)",,,,,,,,,,,,,,,,,,,,,,0|i0008f:,,,,,,,,,,,,,,,,23/окт/23 6:15 PM,К выполнению
На главной странице пользователя кнопка Библиотека не активна,HW8-7,10037,Баг,К выполнению,HW8,Домашние задание 8,software,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,,High,,,,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,23/окт/23 6:10 PM,23/окт/23 6:10 PM,03/апр/24 7:36 PM,,,0,"# Зайти на сайт [https://books-library-2.herokuapp.com/|https://books-library-2.herokuapp.com/|smart-link] 
# Перейти на 2 страницу
# Нажать на кнопку “Библиотека“

ОР: Возвращение на главную страницу
ФР: Кнопка не активна 

Серьезность: S4","Win11, Yandex 23.9.2.888 (64-bit)",,,,,,,,,,,,,,,,,,,,,,0|i00087:,,,,,,,,,,,,,,,,23/окт/23 6:10 PM,К выполнению
В выпадающем списке Авторы на главной странице пользователя повторяющиеся позиции,HW8-6,10036,Баг,К выполнению,HW8,Домашние задание 8,software,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,,Medium,,,,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,23/окт/23 5:25 PM,23/окт/23 5:25 PM,01/июн/24 5:59 PM,,,0,"# Зайти на сайт [https://books-library-2.herokuapp.com/|https://books-library-2.herokuapp.com/|smart-link]
# Нажать на аккордеон Авторы

ОР: В списке по одному одинаковому автору
ФР: В списке повторяются позиции

Серьезность: S4","Win11, Yandex 23.9.2.888 (64-bit)",,,,,,,,,,,,,,,,,,,,,,0|i0007z:,,,,,,,,,,,,,,,,23/окт/23 5:25 PM,К выполнению
В выпадающем списке Жанры на главной странице пользователя повторяющиеся позиции,HW8-5,10035,Баг,К выполнению,HW8,Домашние задание 8,software,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,,Medium,,,,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,23/окт/23 5:22 PM,23/окт/23 5:25 PM,01/июн/24 5:59 PM,,,0,"# Зайти на сайт [https://books-library-2.herokuapp.com/|https://books-library-2.herokuapp.com/|smart-link]
# Нажать на аккордеон Жанры

ОР: В списке по одному одинаковому жанру
ФР: В списке повторяются позиции

Серьезность: S4","Win11, Yandex 23.9.2.888 (64-bit)",,,,,,,,,,,,,,,,,,,,,,0|i0007r:,,,,,,,,,,,,,,,,23/окт/23 5:22 PM,К выполнению
Выпадающий список Жанры на главной странице пользователя не закрывается ,HW8-4,10034,Баг,К выполнению,HW8,Домашние задание 8,software,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,,High,,,,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,23/окт/23 5:20 PM,23/окт/23 5:25 PM,01/июн/24 5:59 PM,,,0,"# Зайти на сайт [https://books-library-2.herokuapp.com/|https://books-library-2.herokuapp.com/|smart-link] 
# Нажать на аккордеон Жанры
# Закрыть список

ОР: Список скрывается
ФР: Список не закрывается 

Серьезность: S2","Win11, Yandex 23.9.2.888 (64-bit)",,,,,,,,,,,,,,,,,,,,,,0|i0007j:,,,,,,,,,,,,,,,,23/окт/23 5:20 PM,К выполнению
В системе администратора в Списках жанров не удаляются позиции,HW8-3,10033,Баг,К выполнению,HW8,Домашние задание 8,software,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,,High,,,,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,23/окт/23 2:24 PM,23/окт/23 2:24 PM,01/июн/24 5:59 PM,,,0,"# Зайти на сайт [https://books-library-2.herokuapp.com/admin|https://books-library-2.herokuapp.com/admin|smart-link]
# Перейти на страницу ""Список жанров""
# Нажать кнопку ""Удалить""

ОР: Жанр удаляется
ФР: Позиция остается 

Серьезность: S4","Win1, Yandex 23.9.2.888 (64-bit)",,,,,,,,,,,,,,,,,,,,,,0|i0007b:,,,,,,,,,,,,,,,,23/окт/23 2:24 PM,К выполнению
В системе администратора в Списках авторов не удаляется позиция,HW8-2,10032,Баг,К выполнению,HW8,Домашние задание 8,software,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,,High,,,,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,Alina,712020:5b985094-71ad-4fb5-b601-2a15c419f562,23/окт/23 2:21 PM,23/окт/23 2:25 PM,01/июн/24 5:59 PM,,,0,"# Зайти на сайт [https://books-library-2.herokuapp.com/admin|https://books-library-2.herokuapp.com/admin|smart-link] 
# Перейти на страницу ""Список авторов""
# Нажать кнопку ""Удалить""

ОР: Автор удаляется
ФР: Позиция остается

Серьезность: S4","Win11, Yandex 23.9.2.888 (64-bit)",,,,,,,,,,,,,,,,,,,,,,0|i00073:,,,,,,,,,,,,,,,,23/окт/23 2:21 PM,К выполнению
